"lag","ccf_Ph_Tdelta","ccf_Ph_Gv","ccf_Tdelta_Gv"
-20,0.112686530616312,-0.177698128711417,-0.0183753648990459
-19,0.108512443420449,-0.106368768606977,0.0311225521912131
-18,0.107885358450985,-0.0165863902385235,0.0869071706728222
-17,0.113398835461167,0.0585296339987997,0.131595630055841
-16,0.122004348399137,0.111580054732496,0.151280754794669
-15,0.1395604666205,0.140222139050191,0.144343355944245
-14,0.160969420602626,0.15814155652286,0.130186367383791
-13,0.170374043168871,0.160801219961142,0.0954566413643594
-12,0.164243131748123,0.178562752279808,0.08897334435515
-11,0.141192769744684,0.199522329070411,0.083148666472736
-10,0.14197276958758,0.212353684488578,0.0804703747003362
-9,0.160167293440053,0.220661315860146,0.0880782112496688
-8,0.176936271470852,0.229310703530031,0.0924061146767706
-7,0.201718157137824,0.230794122895184,0.0836328058843749
-6,0.241092617765777,0.215425341431642,0.0897904585650374
-5,0.295740055689761,0.159136649892971,0.0884481357588143
-4,0.362194720374744,0.0534540483546905,0.078676251642375
-3,0.429501207000813,-0.0831394163778167,0.0655854488745881
-2,0.497417138007516,-0.215668618889968,0.0471082128074855
-1,0.574060791044995,-0.430346848265074,0.0200033934405263
0,0.636686894756067,-0.717564864954409,-0.0248870052170338
1,0.621745971677397,-0.62854495422829,-0.00305209801707567
2,0.591719802563831,-0.44016657472653,0.0463242655090103
3,0.56144540597404,-0.28481989875236,0.0901029920074971
4,0.526307035368604,-0.143461613069505,0.133500399109363
5,0.493738834338835,-0.00334313134742276,0.179357560215642
6,0.466055053977685,0.11246354332269,0.220309417584878
7,0.439759757251742,0.197761445276448,0.245841044524681
8,0.404575784609111,0.257841647659505,0.251992566477435
9,0.374926176999595,0.277216780605345,0.235258893404127
10,0.350278773338915,0.304316379454086,0.230786028331328
11,0.324996235272752,0.310484204291595,0.208185282279576
12,0.297913501910751,0.271395171237334,0.144998009005488
13,0.26941130841218,0.24581093174401,0.105335337556901
14,0.222005339095298,0.213955147475714,0.0771917065391763
15,0.180879365138039,0.192992016539482,0.0673605228289831
16,0.135953414369473,0.180179324181027,0.0587487633044943
17,0.107428452351836,0.167078593419278,0.0470726030601029
18,0.104690545723088,0.134310128074044,0.0367808185103306
19,0.127406878251243,0.0626048752547238,0.0231019872157205
20,0.150634904560281,-0.0429558979148832,0.00260518896201405
