"lag","acf_alpha_T","acf_alpha_G"
0,1,1
1,0.0608618059889459,0.0225857063322134
2,-0.0165377682399059,-0.0738885642898414
3,-0.0307248927819618,0.0547391289516698
4,-0.0179170455773207,-0.04924507813902
5,0.00180420418317464,-0.0789441524108227
6,-0.0156227169163742,-0.0755842099524234
7,0.00898698936529329,-0.0669571223763311
8,-0.0122980069140786,-0.0405914780045924
9,-0.016186677402118,-0.0286963992336092
10,0.00111975585355472,-0.0261241071305245
11,0.0852557520221802,-0.029094218308891
12,6.60063879919222e-05,-0.024940413438903
13,-0.0154804849769102,-0.0236167296925303
14,0.00159311062506663,-0.0174233017014247
15,0.00918452769646247,-0.0193329846834862
16,0.0742994036735372,-0.0369615406281
17,0.0401981759531107,-0.0627669655902717
18,0.00150717737007765,-0.0656950188100862
19,-0.00984921200080704,-0.0340954340509386
20,0.00177809010851371,0.196044248006454
